Day Index,Quantity,Clicks,Impressions,Imputed_Quantity,log_quantity,log_clicks,log_impressions,Month,Year,Month_Name,Day_Of_Week,Week_Of_Month,Day_Of_Week_Numeric,Month_Numeric,Weekday_1,Month_1,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December
2021-12-01,14.0,445,620,14.0,2.70805020110221,6.100318952020064,6.431331081933479,12,2021,December,Wednesday,1,2,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-02,10.0,433,890,10.0,2.3978952727983707,6.073044534100405,6.792344427470809,12,2021,December,Thursday,1,3,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-03,13.0,424,851,13.0,2.6390573296152584,6.052089168924417,6.747586526829315,12,2021,December,Friday,1,4,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-04,22.0,427,881,22.0,3.1354942159291497,6.059123195581797,6.782192056006791,12,2021,December,Saturday,1,5,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-05,26.0,451,678,26.0,3.295836866004329,6.113682179832232,6.520621127558696,12,2021,December,Sunday,1,6,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-06,12.0,429,995,12.0,2.5649493574615367,6.063785208687608,6.903747257584598,12,2021,December,Monday,1,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-07,29.0,444,910,29.0,3.4011973816621555,6.09807428216624,6.814542897259958,12,2021,December,Tuesday,1,1,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-08,24.0,431,867,24.0,3.2188758248682006,6.068425588244111,6.7661917146603505,12,2021,December,Wednesday,2,2,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-09,23.0,456,1128,23.0,3.1780538303479458,6.124683390894205,7.029087564149662,12,2021,December,Thursday,2,3,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-10,26.0,391,1129,26.0,3.295836866004329,5.971261839790462,7.029972911706386,12,2021,December,Friday,2,4,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-11,20.0,447,1461,20.0,3.044522437723423,6.104793232414985,7.2875606403097235,12,2021,December,Saturday,2,5,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-12,21.0,347,1237,21.0,3.091042453358316,5.8522024797744745,7.121252453244542,12,2021,December,Sunday,2,6,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-13,18.0,443,1403,18.0,2.9444389791664403,6.095824562432225,7.247080584585756,12,2021,December,Monday,2,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-14,15.0,427,1641,15.0,2.772588722239781,6.059123195581797,7.403670290012373,12,2021,December,Tuesday,2,1,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-15,15.0,423,1496,15.0,2.772588722239781,6.049733455231958,7.311218384419629,12,2021,December,Wednesday,3,2,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-16,11.0,404,1775,11.0,2.4849066497880004,6.003887067106539,7.4821189235521155,12,2021,December,Thursday,3,3,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-17,17.0,413,1619,17.0,2.8903717578961645,6.025865973825314,7.3901814282264295,12,2021,December,Friday,3,4,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-18,14.0,370,969,14.0,2.70805020110221,5.916202062607435,6.877296071497429,12,2021,December,Saturday,3,5,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-19,11.0,429,678,11.0,2.4849066497880004,6.063785208687608,6.520621127558696,12,2021,December,Sunday,3,6,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-20,18.0,383,1330,18.0,2.9444389791664403,5.950642552587727,7.193685818395112,12,2021,December,Monday,3,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-21,13.0,379,1331,13.0,2.6390573296152584,5.940171252720432,7.194436851100335,12,2021,December,Tuesday,3,1,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-22,6.0,350,1176,6.0,1.9459101490553132,5.860786223465865,7.0707241072602764,12,2021,December,Wednesday,4,2,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-23,9.0,359,1257,9.0,2.302585092994046,5.886104031450156,7.1372784372603855,12,2021,December,Thursday,4,3,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-24,8.0,339,1085,8.0,2.1972245773362196,5.8289456176102075,6.990256500493881,12,2021,December,Friday,4,4,12,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-25,12.0,338,1814,12.0,2.5649493574615367,5.82600010738045,7.503840746698951,12,2021,December,Saturday,4,5,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-26,7.0,398,1759,7.0,2.0794415416798357,5.988961416889864,7.473069088032197,12,2021,December,Sunday,4,6,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-12-27,11.0,369,1119,11.0,2.4849066497880004,5.91350300563827,7.02108396428914,12,2021,December,Monday,4,0,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
